task_id,status,reason,hypothesis_accepted,root_cause_review_passed,patch_bound_to_accepted_set,patch_validation_passed,artifact_rejection_count,worker_failure_count,isolated_worker_failure_count,recovery_attempted,recovery_succeeded,workspace_clean,target_test_passed,regression_passed,syntax_valid,model_calls,tool_calls,total_tokens,duration_ms,estimated_api_cost_cny,execution_path,result_path
quixbugs_bucketsort,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,2,1,1,True,False,True,False,False,False,19,7,72159,254712,0.023046,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_bucketsort/result.json
quixbugs_flatten,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,True,False,True,False,2,1,1,True,False,True,False,False,False,14,4,69308,216715,0.025113,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_flatten/result.json
quixbugs_get_factors,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,4,2,2,True,False,True,False,False,False,31,19,110877,330652,0.025007,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_get_factors/result.json
quixbugs_hanoi,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,0,0,0,False,False,True,False,False,False,26,14,109492,291179,0.025317,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_hanoi/result.json
quixbugs_knapsack,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,True,False,True,False,0,0,0,False,False,True,False,False,False,15,4,70474,214533,0.025091,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_knapsack/result.json
quixbugs_lcs_length,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,2,1,1,True,False,True,False,False,False,27,16,112864,312967,0.027536,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_lcs_length/result.json
quixbugs_lis,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,3,1,1,True,False,True,False,False,False,28,19,110195,307538,0.024976,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_lis/result.json
quixbugs_next_permutation,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,2,1,1,True,False,True,False,False,False,13,4,67640,240545,0.024325,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_next_permutation/result.json
quixbugs_quicksort,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,True,False,True,False,0,0,0,False,False,True,False,False,False,18,11,85798,244448,0.026337,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_quicksort/result.json
quixbugs_sieve,failed,OUTPUT_TOKEN_BUDGET_EXHAUSTED,False,False,False,False,1,0,0,True,False,True,False,False,False,11,4,55125,196073,0.021169,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/quixbugs_closed_loop_v1/tasks/quixbugs_sieve/result.json
