system_id,task_id,status,reason,within_budget,target_test_passed,regression_passed,syntax_valid,model_calls,supervisor_api_calls,tool_calls,total_tokens,duration_ms,estimated_api_cost_cny,execution_path,result_path,trace_path
local_single_agent,quixbugs_bucketsort,failed,BUDGET_VIOLATION,False,False,False,False,10,0,12,42432,49809,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_bucketsort/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_bucketsort/agent_runs/quixbugs_bucketsort/c00d52008e84/trace.jsonl
local_single_agent,quixbugs_flatten,failed,BUDGET_VIOLATION,False,False,False,False,10,0,12,41117,43572,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_flatten/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_flatten/agent_runs/quixbugs_flatten/1cd42180a3ef/trace.jsonl
local_single_agent,quixbugs_get_factors,succeeded,VALIDATION_PASSED,True,True,True,True,5,0,10,15169,19548,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_get_factors/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_get_factors/agent_runs/quixbugs_get_factors/6187c8c1759f/trace.jsonl
local_single_agent,quixbugs_hanoi,failed,BUDGET_VIOLATION,False,False,False,False,10,0,12,42880,46261,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_hanoi/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_hanoi/agent_runs/quixbugs_hanoi/949cc265a027/trace.jsonl
local_single_agent,quixbugs_knapsack,failed,BUDGET_VIOLATION,False,False,False,False,10,0,12,46971,59565,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_knapsack/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_knapsack/agent_runs/quixbugs_knapsack/c43349042501/trace.jsonl
local_single_agent,quixbugs_lcs_length,failed,BUDGET_VIOLATION,False,False,False,False,10,0,12,43291,51602,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_lcs_length/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_lcs_length/agent_runs/quixbugs_lcs_length/e2e50123e099/trace.jsonl
local_single_agent,quixbugs_lis,failed,MAX_STEPS_EXHAUSTED,True,False,False,False,10,0,13,39125,44649,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_lis/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_lis/agent_runs/quixbugs_lis/7008ca340fc6/trace.jsonl
local_single_agent,quixbugs_next_permutation,failed,BUDGET_VIOLATION,False,False,False,False,8,0,10,42319,40004,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_next_permutation/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_next_permutation/agent_runs/quixbugs_next_permutation/1c61f3ba83cd/trace.jsonl
local_single_agent,quixbugs_quicksort,failed,MAX_STEPS_EXHAUSTED,True,False,False,False,10,0,13,34869,56176,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_quicksort/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_quicksort/agent_runs/quixbugs_quicksort/aa2f15fbefd5/trace.jsonl
local_single_agent,quixbugs_sieve,failed,BUDGET_VIOLATION,False,False,False,False,10,0,12,41300,49526,0.0,single,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_sieve/result.json,reports/phase6/evaluation/phase6_quixbugs_final_v1/local_single_agent/quixbugs_sieve/agent_runs/quixbugs_sieve/ea0cbc5c3d27/trace.jsonl
